"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
259,43,50.61206,26.73048,1.27533,33132.13306,1027.98361,374.30048,0.10502
260,44,19.52141,38.95212,1.74492,124874.13443,1162.22881,376.30369,0.05144
261,44,36.2783,24.43465,1.34098,47045.62668,1132.3891,488.33625,0.10426
262,44,42.55129,25.60274,1.20936,34944.78181,1294.56167,557.31197,0.13054
263,45,19.19792,39.60779,2.11952,125975.0797,1073.81996,557.59776,0.10729
264,45,33.18042,17.68096,1.61403,37427.55019,872.02512,136.13937,0.06084
265,45,44.5911,25.37931,1.71238,121790.25513,945.59514,535.52694,0.0705
266,46,12.83497,17.98307,1.68897,31351.56742,894.87222,129.59722,0.07598
267,46,15.3178,49.20917,1.0221,4556.70444,850.79412,169.7045,0.24869
268,46,18.81767,39.47882,2.09976,94924.46075,1047.29873,402.41168,0.10298
269,46,28.62501,31.11382,1.3358,9920.88289,861.81108,130.76206,0.15278
270,46,33.2079,17.68906,1.31466,11228.89637,882.21372,123.06198,0.12491
271,46,41.48913,25.39745,2.46361,104491.92317,791.06345,616.90236,0.19122
272,46,43.11295,25.44477,2.59012,123677.48136,710.63119,682.79593,0.19648
273,46,55.63701,28.36119,1.04376,4069.46355,776.46565,99.79247,0.18882
274,47,17.84164,21.01776,1.71876,38548.77796,894.3271,125.42816,0.06248
275,47,19.325,38.34859,1.39925,6567.34828,749.35519,95.89293,0.19751
276,47,28.7029,31.05446,1.30313,46166.40378,1003.09929,253.52614,0.05544
277,47,29.72632,19.93465,1.25018,35405.88853,1088.90255,336.5631,0.08591
278,47,34.37238,25.43786,1.1879,24111.70989,1259.06893,570.28177,0.1868
279,47,44.91521,25.42522,1.50798,51210.48117,861.10794,131.33908,0.03827
280,48,14.96529,51.8582,1.38854,50810.06623,1003.09841,141.11284,0.03493
281,48,18.12997,41.17205,2.13922,20737.37445,817.07895,141.23374,0.19388
282,48,28.74469,31.00157,1.33676,44954.824,972.28745,238.55945,0.05664
283,48,30.94165,24.29997,1.20843,43837.51308,1123.25171,347.36686,0.06707
284,48,34.42999,16.58495,1.63141,29971.98698,1002.00173,146.56174,0.08202
285,49,15.17982,51.59157,4.09781,78291.53021,614.82928,108.37237,0.15075
286,49,17.7752,42.74157,1.52243,29490.64582,873.2559,134.12833,0.06802
287,49,24.60843,34.00584,1.3147,30114.74071,900.02418,156.94673,0.05729
288,49,28.92897,25.02101,2.29374,64512.96947,803.08382,355.90143,0.16071
289,49,39.66199,24.83882,1.26522,8224.02052,761.96756,107.36505,0.14225
290,50,14.07772,18.52243,1.92076,43065.37424,835.84491,161.86569,0.08514
291,50,14.87408,52.05106,1.29963,61442.7404,1049.75404,173.35249,0.03023
292,50,17.72108,42.77708,2.16968,70741.75457,927.98649,209.35025,0.08197
293,50,28.87521,31.01305,1.357,49668.08544,895.90708,133.73837,0.03283
294,50,44.41681,25.31608,1.55685,12532.09438,728.61763,93.12802,0.12486
295,51,10.90599,17.49966,2.25922,20998.38967,751.15348,105.06864,0.16853
296,51,17.21484,44.00575,1.92417,36159.05101,851.85888,126.69336,0.08332
297,51,21.55325,22.60394,1.43431,29039.98853,854.18913,107.24935,0.05194
298,51,29.10441,31.40553,1.35788,9750.51144,786.25331,107.05434,0.13704
299,51,37.10974,24.58589,1.25843,28053.57444,787.15512,120.24003,0.04587
300,52,13.77977,18.25203,1.86629,36038.47556,818.53231,120.16613,0.07562
301,52,20.058,37.9653,1.3702,57934.01574,1101.61262,377.83944,0.06961
302,52,23.36844,32.10344,1.04538,28254.29308,1523.03538,875.73582,0.1892
303,52,28.70312,31.17934,1.2481,48786.85109,1367.54413,631.68365,0.11184
304,52,32.28272,27.17586,6.69122,519341.43817,0.00002,503.68852,0.2314
305,52,36.88325,24.69045,1.36944,53617.47107,1021.47405,268.15371,0.05517
306,52,42.27891,25.1824,2.32568,25254.28092,725.55915,161.26203,0.20941
307,53,22.24954,33.91782,1.28293,42234.22754,1415.03836,633.00167,0.13635
308,53,22.43534,23.00207,1.68764,55826.41909,1239.02909,595.00262,0.1648
309,53,25.25538,28.4238,1.04257,27696.42648,1897.43928,828.50579,0.18206
310,53,35.81053,25.13222,1.99817,99351.92218,887.42009,520.24254,0.11348
311,53,48.04649,25.57584,1.474,32550.07154,859.03235,157.11334,0.06592
312,54,14.86772,52.76042,1.26414,42770.39639,936.41883,214.94254,0.04896
313,54,21.03758,37.04743,2.53827,133863.8141,799.48193,770.1466,0.19577
314,54,22.97274,33.22438,2.13793,81546.08071,1310.80996,787.22322,0.23403
315,54,28.84916,31.1164,1.03502,30693.16209,2002.92223,1246.70053,0.2409
316,54,33.74811,17.08352,1.48004,16749.80877,1000.19491,134.28002,0.11283
317,54,33.03664,26.98426,1.26301,68979.19336,1473.46724,848.54603,0.10737
318,54,35.23454,8.94273,3.22348,43866.33711,710.21155,122.28005,0.1834
319,54,51.30439,26.8575,1.28587,46551.88166,834.06882,118.19116,0.02883
320,55,5.5033,13.97329,1.6269,17833.22881,943.7458,222.5883,0.19453
321,55,12.09784,17.67704,1.64655,30629.83799,939.98953,156.28021,0.08611
322,55,16.64243,46.58239,3.15502,26357.09131,786.67932,117.72154,0.28318
323,55,18.11221,41.37788,1.19053,5317.69028,905.06788,141.47456,0.24359
324,55,26.89634,23.95635,1.25279,36543.18349,1178.09275,301.74929,0.07573
325,55,28.82199,30.728,1.24355,24005.70073,1225.241,428.70375,0.15649
326,55,32.92138,27.13248,1.0979,11623.82006,1165.21022,577.61589,0.338
327,55,45.62534,25.4658,1.1438,11121.33618,776.14032,109.41832,0.08867
328,55,53.56252,27.57803,1.50704,13755.9648,796.407,110.787,0.12201
329,56,5.17174,13.75923,1.90741,34348.9208,886.88664,136.14024,0.09126
330,56,18.26531,41.70492,1.42017,104571.89746,935.58114,157.98953,0.0198
331,56,24.6237,29.3691,1.15638,46498.54217,1230.50941,575.1645,0.09297
332,56,26.97597,24.10112,1.29315,39160.33212,1216.74204,617.92251,0.14588
333,56,33.68637,25.81867,1.2031,30803.56451,1070.07059,353.20996,0.09591
334,56,37.30696,5.87672,3.10771,81768.79957,788.50314,158.77955,0.11364
335,57,8.43977,17.12511,1.84995,13765.97251,783.85046,100.35786,0.16772
336,57,20.30199,22.02201,1.37806,30132.92188,1014.32239,236.58663,0.08856
337,57,20.9433,35.71311,1.18176,33321.4761,1151.39305,632.74006,0.14782
338,57,24.85048,29.11783,1.18606,66795.2857,1385.48631,422.49067,0.05098
339,57,31.45938,27.07271,3.33821,167131.24045,613.60175,409.09534,0.14826
340,57,37.11731,5.83556,2.96155,19770.8781,733.42293,102.78985,0.29941
341,57,49.165,26.2193,1.8976,45514.41506,781.09668,275.07228,0.12436
