"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
126,25,14.68974,18.59786,1.86276,9218.10123,751.15155,97.91256,0.24851
127,25,14.7144,52.58478,1.23994,33730.79328,782.23602,100.98279,0.03281
128,25,27.51455,23.62468,1.41396,32340.77646,843.45547,144.97536,0.05745
129,25,35.10902,14.78468,1.91744,27343.72405,832.99674,130.87452,0.11195
130,25,38.22815,25.06831,1.31956,8815.22426,857.43666,106.34455,0.14272
131,25,50.42076,26.23812,1.28329,25929.11674,1268.31234,510.92025,0.18126
132,25,55.82793,28.89372,1.64668,38537.09832,1141.30202,445.6016,0.17328
133,26,14.65519,52.58005,1.27388,5066.8654,765.83354,104.87427,0.22893
134,26,19.46732,39.8139,1.27337,10321.04442,755.5602,93.96602,0.10401
135,26,25.38867,23.68373,1.46042,45791.66007,869.98835,105.32818,0.03406
136,26,37.36733,5.92352,2.08502,15101.97928,850.42134,108.23618,0.20454
137,26,38.29755,25.01012,1.39114,46431.74869,885.13428,142.84497,0.03864
138,26,52.60068,27.35868,2.44136,78529.81013,817.34372,434.69141,0.17965
139,26,52.91701,27.51055,2.41117,74743.32376,871.71402,462.31592,0.19507
140,27,14.81847,52.82163,1.27245,20341.66717,829.3079,127.31572,0.06708
141,27,18.86165,40.82471,1.83204,98328.28648,816.91318,365.56312,0.0698
142,27,25.3657,23.67929,1.36502,43584.55377,906.98534,124.65884,0.03571
143,27,33.47539,25.82013,1.24355,6094.37877,870.19949,127.36562,0.21205
144,27,36.88453,6.11773,2.75632,45350.17979,818.18595,131.49456,0.13817
145,27,54.34874,28.01702,1.28892,40934.50427,939.23854,257.49286,0.06202
146,28,5.68178,15.22895,2.01194,21034.76508,773.75237,91.13168,0.12066
147,28,14.76429,52.77449,1.26905,33585.71042,845.91484,109.22959,0.03639
148,28,19.30479,40.35187,1.52298,63955.09602,1421.93025,776.62942,0.15214
149,28,19.8843,39.40138,2.61447,125730.34834,1117.66461,797.39084,0.22846
150,28,24.45882,23.42364,1.94789,73288.75438,1040.51173,336.94127,0.09779
151,28,27.76736,31.4675,0.99758,7557.41236,1163.2793,416.05553,0.31951
152,28,32.67735,24.28805,1.22559,41065.04574,1096.43296,247.63628,0.05434
153,28,34.55187,13.24823,3.01687,37059.34079,933.64948,166.85821,0.24546
154,28,35.18882,9.75873,4.49853,93051.95376,827.26094,188.36107,0.23983
155,28,36.09186,7.51062,4.53302,130273.06107,583.47747,145.6407,0.14042
156,28,48.15234,25.38185,1.16494,5492.73551,855.80432,166.50011,0.2592
157,28,54.08339,27.79112,1.20831,21380.23007,806.51688,114.1769,0.05334
158,29,5.75997,14.9924,1.55797,9855.70552,766.35555,89.60342,0.15415
159,29,14.80404,52.62466,1.29021,73401.27514,899.63692,124.09214,0.01946
160,29,18.89534,40.78654,1.63358,132852.76965,1206.13948,514.89706,0.0569
161,29,22.2532,22.64927,1.4206,39724.78137,1128.43759,224.54398,0.06817
162,29,27.82079,31.65339,1.25525,41126.24351,1136.84683,246.97591,0.05662
163,29,29.54087,20.14159,1.06751,16399.51073,1528.78022,451.40672,0.18032
164,29,30.11023,20.80636,3.07063,80674.59978,1040.56379,425.57021,0.26966
165,29,34.49966,16.21559,1.4264,23458.571,1172.74143,447.61768,0.21653
166,29,48.10653,25.79592,2.2248,98778.46203,854.656,395.69636,0.10914
167,29,54.52694,28.36217,2.59421,66921.37377,766.26509,331.00228,0.18473
168,30,14.76265,52.77159,1.28598,17931.09788,1026.27649,151.46699,0.08906
169,30,19.56213,39.45039,2.75145,221732.96434,858.5592,1017.26737,0.18139
170,30,23.30852,22.05626,2.37326,24429.17434,821.9817,165.3966,0.23006
171,30,19.99431,38.59358,2.86085,217002.31408,1072.75839,1056.19486,0.20763
172,30,29.55083,19.75843,1.23067,35997.2443,1265.66604,404.81251,0.09715
173,30,34.68424,15.01814,2.9057,70289.10227,873.49525,220.98421,0.15331
174,30,34.61699,15.92815,1.56597,27559.02306,1266.89516,443.31356,0.21867
175,30,45.56595,25.44859,1.27029,49031.97942,852.42401,116.13245,0.02648
176,30,56.80702,29.67212,1.42777,31903.4096,821.67296,110.00518,0.04787
177,31,15.11584,53.71155,3.89959,45403.93531,753.56967,101.75789,0.22373
178,31,18.17156,41.85461,1.42204,47809.35567,1106.80293,426.93031,0.10125
179,31,21.40013,37.20978,2.84615,97909.75265,752.00134,497.30139,0.22128
180,31,26.41482,26.39523,1.05049,9172.17822,1002.44747,197.10792,0.14807
181,31,29.64211,19.71008,1.13293,12914.25819,1194.95637,371.00279,0.2132
182,31,34.81725,13.38564,3.1275,79153.59998,949.66088,274.15555,0.19059
183,31,34.70273,14.49521,2.12345,32960.06696,1275.15721,367.00233,0.27774
184,31,44.01632,25.33113,2.23232,59403.30954,782.04958,392.15768,0.18091
185,31,56.88312,29.62664,1.44901,31105.48851,891.50485,171.20639,0.07163
186,32,21.85295,34.05647,1.33452,6352.33007,726.52282,91.44788,0.18008
187,32,22.04733,22.64173,1.46613,52452.26778,884.55237,127.00868,0.03457
188,32,39.20863,24.96536,1.87813,75787.93379,813.72154,294.98402,0.07814
189,32,56.77378,29.66126,1.4585,32390.96356,794.44777,122.33793,0.05322
190,33,16.20266,46.23286,2.38416,77634.30138,959.82655,422.34239,0.16885
191,33,22.03159,34.18268,1.2482,23167.5302,835.48595,113.80144,0.05224
192,33,31.59141,29.31793,1.32406,35260.0465,950.7428,172.43945,0.05369
193,33,32.8776,17.84658,1.55696,31122.74888,909.34672,146.18319,0.07212
194,33,38.30662,24.94493,1.20452,17492.84752,1084.30089,263.84326,0.12978
195,33,45.49658,25.43467,1.78079,37170.78432,974.05602,279.05064,0.13621
196,34,15.97115,46.68923,1.32221,65081.67955,1446.82068,707.65448,0.1043
197,34,15.38879,52.41649,3.55714,48900.56652,804.61246,146.14271,0.23096
198,34,18.66939,41.32514,1.05853,34400.54932,1475.40692,1064.57809,0.19218
199,34,22.27042,22.56646,1.75866,23293.33798,826.26272,136.42309,0.11478
200,34,31.70027,29.05029,1.47427,55611.79568,935.50206,171.98247,0.04192
201,34,32.92798,17.76935,1.48725,24945.40328,896.36604,126.91126,0.07345
202,35,14.79384,55.96788,1.32471,13520.369,773.40809,107.85547,0.09518
203,35,16.02178,46.47391,1.22424,44625.45842,1265.42996,781.12687,0.14437
204,35,18.62469,41.34564,1.09076,38240.83364,1385.71829,800.02957,0.13874
205,35,30.9917,24.68121,2.74401,121405.21987,913.62318,609.61906,0.20134
206,35,49.0228,25.72888,1.43358,14546.3973,762.54176,99.5899,0.09681
207,36,15.80454,47.0719,1.03452,9124.90587,917.85613,368.97865,0.25329
